,kdppk,beban_faskes
0,02340001,41203.31964362411
1,02341003,24971.550210379646
2,02341004,25313.395237688834
3,02341005,34801.56069987324
4,02341006,35107.235591211225
5,02350001,31197.139816291587
6,02350104,18098.583790440513
7,02350105,33207.78263216648
8,02351001,18877.739123966316
9,02351002,14869.812819393635
10,02351003,47172.085532572026
11,02360005,27335.25940074495
12,02361001,30180.821915063483
13,02361002,34686.31301393853
14,02361003,20989.944079447978
15,02361004,33151.94747535272
16,02361005,27327.10859481634
17,02381001,11587.81001196888
18,02390001,15611.054021608643
19,02391004,7977.614284566159
20,02391005,6668.583044331965
21,02400003,11143.309032594538
22,02400004,53588.150701039696
23,02401001,26321.01761472098
24,03460001,12234.163914924755
25,03460002,9486.26574483358
26,03460003,8216.0
27,03460004,21789.62992362595
28,03461001,1755.0
29,04210102,11420.244131323443
30,04210103,26982.96877380072
31,04210104,23695.935030007044
32,04210105,57998.85245956572
33,04210106,6372.6648538409245
34,04211001,14544.232982193771
35,04211002,25931.850972237688
36,04500001,5453.008658008658
37,05090104,9401.344014128295
38,05090105,33392.33224665926
39,05090108,24126.93490092315
40,05090109,21940.527767380496
41,23010101,21578.79707882328
42,23010102,37602.02252983414
43,23010201,48038.90992513294
44,23010301,46311.19833728306
45,23010302,44351.29111954606
46,23010401,52422.71799243269
47,23010402,30037.639791458056
48,23010501,36604.13798875346
49,23010502,50948.21166895493
50,23010503,40439.368491558314
51,23010504,32640.904585818746
52,23010901,43028.16944342452
53,23010902,37275.912303338875
54,23011001,48636.936564630734
55,23011002,56911.5249419665
56,23011101,40647.57855338812
57,23011102,40425.493938696425
58,23011201,35103.85816760065
59,23011202,24352.6550767085
60,23020101,24726.266525246538
61,23020102,34862.662191205534
62,23020103,44524.88195603616
63,23020201,37696.3876517304
64,23020202,40616.20317809151
65,23020301,29440.21819106136
66,23020302,47190.136026150314
67,23020303,46380.45485615029
68,23020401,46406.242901625235
69,23020501,37502.40787600608
70,23020502,33900.561095102516
71,23020601,65429.14470589467
72,23020602,31590.017513175837
73,23020603,44036.38320046667
74,23020604,67162.6443996831
75,23020701,57938.81411664106
76,23020702,33750.36188844716
77,23020703,22795.124404305436
78,23020801,38182.19114118954
79,23020802,32531.24833255876
80,23020901,37248.22253721417
81,23020902,34173.34029639607
82,23030101,42127.89219461831
83,23030102,43097.05826585524
84,23030103,82309.09081164225
85,23030104,32146.579540910392
86,23030201,24516.271221397703
87,23030202,35134.49924030868
88,23030301,46455.37350163375
89,23030302,37474.28974154684
90,23030303,43567.76287106737
91,23030401,56658.35675917403
92,23030402,29054.738040752927
93,23030501,56822.89460041746
94,23030502,31536.862936972884
95,23030601,69361.32749946223
96,23030602,52371.79436235703
97,23030603,49615.16932317333
98,23030701,53934.80857245928
99,23030702,37221.088146413065
100,23030703,38682.3842359872
101,23030801,49287.44481090246
102,23030802,68440.47862982734
103,23030803,27156.353215425897
104,23030804,24529.42653089856
105,23030805,33633.671615797735
106,23030901,31046.80517104928
107,23030902,65491.61489367976
108,23030903,47019.00835156192
109,23031001,26070.71252964961
110,23031002,14097.08572880338
111,23040201,72565.72785069373
112,23040202,26902.35997794943
113,23040301,19337.635387243758
114,23040401,62082.64924460272
115,23040501,39784.89397711072
116,23040502,10879.524519842807
117,23040601,10583.333211939615
118,23040602,20070.830475867584
119,23040603,26166.05907045581
120,23040701,19934.03670140582
121,23040801,30130.255169925145
122,23040802,20953.01082668942
123,23040803,7602.030086369872
124,23040901,30134.654900732625
125,23040902,7042.118091965962
126,23041001,57745.67570103691
127,23041003,28795.264741759813
128,23041101,20505.122919849255
129,23050101,51747.66311838055
130,23050102,22372.998319026974
131,23050103,53019.65868219943
132,23050201,15249.958044539228
133,23050202,21980.087318087317
134,23050401,23035.95735472339
135,23050402,27147.690045690164
136,23050403,39179.29634207306
137,23060101,28014.547446434095
138,23060102,31357.529107114897
139,23060103,34726.19650866149
140,23060201,22672.991341991343
141,23060202,13965.096153846154
142,23060301,29385.558823257612
143,23060401,4539.8731031991065
144,23060601,18991.289801130475
145,23060602,24292.77704954196
146,23060701,36504.29346595043
147,23060801,6463.0
148,23060802,3956.0
149,23060901,31380.823716800627
150,23060902,14681.0
151,23060903,15571.583557059726
152,23061201,23977.81975156316
153,23061301,35390.33387400043
154,23061302,23915.726988628645
155,23061303,18017.674507905776
156,23061401,28411.94058637582
157,23061402,15586.963384944835
158,23070601,43354.21891666257
159,23070602,45818.414194497185
160,23070603,52658.18864271972
161,23070701,52257.63988592759
162,23070702,51943.77911699578
163,23070801,45056.67552720978
164,23070802,55887.80554643621
165,23070803,34266.06846891483
166,23090101,22378.5459655637
167,23090102,9061.77212647018
168,23090201,16672.534542350586
169,23090202,13806.416413373861
170,23090203,19992.777191541347
171,23090301,4720.58358662614
172,23090401,50420.723945806734
173,23090501,7675.21525663092
